lexeme,part_of_speech,max_usage,median_all,median_in_use,mean_all,mean_in_use
bedriver,ADP,130,0,130,1,90
mysql,DET,458,0,129,21,179
burnup,ADP,314,0,129,37,110
activewear,ADP,431,0,129,33,143
aluminosilicate,DET,213,0,129,43,97
pteronyssinus,CONJ,213,0,129,32,122
bromocriptine,PRON,199,0,127,27,98
http,DET,377,0,127,26,148
nucleosome,DET,305,0,127,35,114
endorphin,ADP,181,0,126,26,103
kryqin,ADP,126,0,126,1,84
interprocessor,ADP,650,0,125,59,220
vajjon,ADP,125,0,125,1,109
anchoveta,DET,503,0,125,75,162
aquafaba,DET,273,0,125,2,138
aldolase,ADP,284,0,124,46,121
miniband,CONJ,276,0,124,27,130
softcover,CONJ,201,0,123,26,94
smartart,DET,320,0,123,12,144
ionomycin,ADP,358,0,123,33,136
svojmu,ADP,123,0,123,1,85
localhost,ADP,555,0,122,26,192
forarger,ADP,121,0,121,1,82
bisporus,CONJ,248,0,121,39,109
operable,PRON,408,22,121,89,150
velsignet,DET,120,0,120,1,81
aflatoxin,ADP,304,0,119,38,129
norfloxacin,ADP,154,0,119,20,96
thioacetamide,DET,353,2,118,67,131
uddriver,ADP,118,0,118,1,80
fromfromfromfromfrom,ADP,238,0,118,5,108
solifenacin,ADP,162,0,118,8,109
nicardipine,PRON,223,0,117,21,110
antipersonnel,DET,279,0,117,39,106
ostinato,ADP,606,12,117,109,180
desarrollo,ADP,230,0,117,39,89
theoretician,DET,370,1,116,83,158
igatugyan,ADP,116,0,116,1,78
novobiocin,ADP,296,0,116,40,124
beschrankter,ADP,493,26,116,105,160
magasawa,DET,116,0,116,1,82
nagpatirapa,DET,116,0,116,1,87
antiguerrilla,DET,349,0,116,46,122
butbutbutbutbut,CONJ,337,0,115,7,113
antiferromagnet,CONJ,397,0,112,44,142
sosuga,DET,134,0,111,2,104
cimetidine,PRON,309,0,111,31,102
terbinafine,PRON,188,0,111,16,100
napakita,DET,111,0,111,1,87
verizon,ADP,211,0,110,11,100
paroroon,ADP,110,0,110,1,82
sumasampalataya,DET,110,0,110,1,77
androgen,CONJ,239,0,110,37,93
gangsta,DET,179,0,110,14,106
ghrelin,CONJ,216,0,109,10,113
tachyon,ADP,297,0,108,32,110
pixel,PRT,165,0,108,19,93
allocable,PRON,432,0,107,76,153
follitropin,ADP,232,0,107,24,106
besuan,ADP,107,0,107,1,73
thermocline,DET,281,0,107,48,120
biotin,PRT,246,0,107,46,101
