lexeme,part_of_speech,max_usage,median_all,median_in_use,mean_all,mean_in_use
nnderstand,CONJ,284,4,4,12,12
xll,ADP,284,7,16,27,36
ofreason,ADP,283,1,1,15,16
gunshot,DET,283,37,37,65,66
pyro,ADP,280,45,50,50,55
anodier,DET,280,3,4,25,25
readyfor,ADP,279,8,8,19,19
ofthis,PRON,279,4,4,17,18
lmder,ADP,278,73,76,84,87
whenyou,PRON,278,5,5,26,26
begann,ADP,278,14,14,24,25
intybus,ADP,277,13,24,52,72
anvl,DET,276,4,5,12,13
theback,DET,273,5,5,15,16
sein,ADP,272,11,11,24,24
bens,ADP,271,8,8,23,24
himselfup,PRT,271,4,5,13,13
ofmind,CONJ,271,1,1,11,13
ofllce,ADP,271,31,41,48,57
perfonn,ADP,269,2,3,25,28
sepia,DET,269,24,32,45,53
beinn,ADP,267,44,44,56,57
flagellar,DET,267,0,9,19,37
winq,ADP,267,0,1,7,19
oftho,ADP,266,34,34,60,60
nervellus,CONJ,265,2,47,42,77
notecall,DET,264,0,3,11,43
onsul,ADP,264,4,4,15,17
thereou,PRON,264,23,24,52,53
accompli,ADP,262,21,47,80,87
axn,ADP,261,30,31,54,55
onginator,ADP,261,0,62,12,84
vhich,ADP,261,67,68,81,82
uwith,ADP,260,8,9,26,27
becomo,ADP,260,34,34,57,58
llmin,ADP,260,0,3,13,34
itcan,PRON,258,13,13,18,18
thejoy,DET,258,2,2,11,12
xrf,ADP,258,3,3,10,11
oly,ADP,257,22,22,30,30
oppendix,PRT,257,0,226,5,143
beceuse,ADP,256,2,3,23,26
tlre,ADP,256,5,5,12,12
waitfor,ADP,256,4,4,19,19
amignor,ADP,256,0,8,18,34
asymmetricus,CONJ,254,0,9,14,41
immersion,ADP,254,52,55,81,83
wherevpon,ADP,253,29,30,43,43
frcxn,ADP,253,0,6,17,36
ofthomas,ADP,252,2,2,14,15
acrotreta,DET,252,1,5,11,19
larer,ADP,252,0,2,9,27
theaterweek,DET,251,0,1,7,57
tonto,PRT,251,11,12,34,35
vdth,ADP,251,7,10,38,40
thanatotope,DET,250,0,1,5,37
textform,PRON,250,0,250,5,250
whole,PRT,250,16,17,38,39
wnere,ADP,249,52,53,71,71
thejustice,DET,249,21,22,28,28
bbb,ADP,248,3,4,19,20
thairfore,ADP,248,18,18,30,31
abbat,DET,248,14,15,28,29
thet,PRT,248,35,36,48,49
thara,DET,248,8,8,22,22
lssue,ADP,247,0,3,18,37
ofhb,ADP,247,0,4,10,43
ofyellow,ADP,247,2,3,11,14
iross,ADP,247,22,26,32,41
boforo,ADP,246,41,46,51,58
ial,ADP,246,26,26,50,51
lnner,ADP,246,1,5,29,42
dehumidif,ADP,245,0,10,17,45
affter,ADP,245,34,34,52,53
withno,ADP,244,7,7,18,18
lovefor,ADP,244,3,3,12,13
dup,ADP,244,2,2,10,11
zi,PRON,244,6,7,22,24
ofmuch,ADP,244,5,5,13,15
wg,ADP,244,14,14,46,46
perder,ADP,243,6,7,23,24
outslg,ADP,243,0,116,8,117
atrick,ADP,243,12,13,21,22
someofthe,DET,242,3,3,21,21
behavor,ADP,242,3,3,18,19
auch,DET,241,11,11,16,17
ahstract,DET,241,5,6,17,17
ismore,ADP,239,4,5,11,12
ultracentrif,ADP,239,0,14,22,55
ofraw,ADP,238,3,4,26,28
bthat,ADP,238,6,6,15,15
mustard,PRT,237,11,11,27,28
lnterfaith,ADP,236,0,27,14,47
athyris,ADP,235,15,25,33,42
hehe,PRON,235,1,1,7,8
yourfelf,PRON,235,7,7,22,23
bibliog,CONJ,233,0,17,16,44
anobject,DET,233,2,2,19,19
atletika,ADP,232,0,1,5,29
lackson,ADP,232,10,18,36,48
sirup,ADP,232,26,34,66,78
sanfujinka,ADP,231,0,1,6,22
thetefote,DET,231,0,12,8,52
lowerthan,ADP,230,7,7,39,40
ssn,ADP,230,32,34,38,39
sonre,ADP,230,0,1,5,12
beefore,ADP,229,27,27,39,39
ofgeneral,ADP,229,4,4,15,16
antiref,DET,229,0,68,21,91
