lexeme,part_of_speech,max_usage,median_all,median_in_use,mean_all,mean_in_use
aeuro,DET,226,0,30,5,102
ovtr,ADP,109,29,30,31,31
tlicir,DET,79,30,30,30,30
ately,ADP,94,30,30,30,30
pc-brand,CONJ,31,0,30,0,22
ofjliterature,ADP,61,0,30,3,33
oulslg,ADP,60,0,30,2,29
becouse,ADP,1749,28,29,250,251
farnin,ADP,476,0,29,12,125
towork,PRT,473,28,29,45,46
uty,ADP,120,28,29,38,39
frbm,ADP,108,29,29,32,32
vour,PRT,105,28,29,32,33
fairer,CONJ,101,29,29,30,30
jpon,ADP,70,29,29,28,29
thtt,ADP,57,29,29,27,28
anirudhan,DET,47,0,29,1,29
asecondorjunior,ADP,30,0,29,0,21
minigap,PRT,29,0,29,0,24
lnterrupt,ADP,62,0,29,6,27
lookattheinstructionsfor,ADP,29,0,29,0,24
uvenile,ADP,131,28,28,40,41
agaiast,ADP,101,27,28,29,30
ioe,ADP,90,27,28,28,28
meadowland,CONJ,95,18,28,27,34
withoutwithoutwithoutwithoutwithout,ADP,56,0,28,1,31
likelikelikelikelike,ADP,94,0,28,2,33
ofestablishmentandkind,ADP,56,0,28,1,28
odmr,ADP,72,0,28,2,29
typedescriptor,ADP,47,0,28,1,27
themailout,DET,28,0,28,0,20
ahout,PRT,493,27,27,45,46
dem,ADP,481,26,27,48,49
delle,ADP,285,27,27,46,46
beefore,ADP,229,27,27,39,39
wmcn,ADP,125,27,27,32,33
thirtyfirst,DET,123,26,27,34,34
amendin,ADP,120,27,27,33,34
tln,ADP,119,27,27,35,35
immortality,PRT,117,26,27,34,35
svith,ADP,104,27,27,29,29
unuer,ADP,90,27,27,33,34
tltat,DET,62,26,27,28,28
donotcountas,ADP,27,0,27,0,23
textfarm,PRON,27,0,27,0,27
eeuteut,CONJ,32,0,27,0,20
lvlay,ADP,52,0,27,2,29
populationcensus,CONJ,34,0,27,1,23
orschoolingand,CONJ,44,0,27,1,27
postagein,ADP,51,0,27,1,26
attributionlicenseand,CONJ,27,0,27,0,22
andtixtures,CONJ,62,0,27,2,31
oftheiremployerisincludedin,ADP,29,0,27,0,21
dushkin,PRT,46,0,27,1,25
meprolone,PRON,27,0,27,0,22
theirovvn,DET,27,0,27,0,17
maritime,DET,314,25,26,63,64
ial,ADP,246,26,26,50,51
thoughtfulness,PRON,191,25,26,35,36
lndianhead,CONJ,121,0,26,5,29
nnv,DET,101,26,26,28,29
tlif,ADP,51,26,26,24,25
tfieir,DET,65,26,26,28,28
uml,ADP,89,25,26,30,30
frora,ADP,90,25,26,29,30
notpaidor,ADP,26,0,26,0,22
skydrive,DET,52,0,26,1,26
illustrationss,ADP,51,0,26,1,26
aakuta,DET,31,0,26,1,18
netinterestand,CONJ,44,0,26,1,23
anyanyanyanyany,DET,54,0,26,1,25
corbett,PRT,63,0,26,1,31
yourentfor,ADP,26,0,26,0,22
ladernykh,ADP,49,0,26,4,24
issentto,ADP,48,0,26,1,26
incomeunder,ADP,26,0,26,0,21
amountispaidon,ADP,26,0,26,0,26
androgynous,CONJ,618,25,25,111,112
athyris,ADP,235,15,25,33,42
dlag,ADP,173,0,25,15,43
iior,ADP,103,24,25,30,30
aflcr,ADP,77,25,25,27,27
alon,PRT,88,25,25,28,28
mortar,PRT,85,25,25,27,27
nava,DET,88,25,25,26,27
frojn,ADP,55,25,25,26,26
whtn,ADP,64,25,25,28,28
auricula,DET,67,24,25,28,28
helandor,ADP,25,0,25,0,21
lftheperson,ADP,25,0,25,0,21
openwin,ADP,51,0,25,3,24
paymentsonalsecondorjunior,ADP,25,0,25,0,21
orioreign,ADP,25,0,25,0,21
permitsiswhich,DET,25,0,25,0,21
throughthroughthroughthroughthrough,ADP,57,0,25,1,26
yourentforwour,PRON,25,0,25,0,21
nonemptoyer,CONJ,25,0,25,0,20
thereou,PRON,264,23,24,52,53
thats,ADP,217,24,24,44,45
dth,ADP,172,24,24,38,38
nationalgeo,DET,154,0,24,3,54
intemet,DET,131,0,24,4,35
atonvastatin,ADP,115,0,24,3,41
ain,PRT,97,24,24,26,26
tnough,ADP,66,24,24,27,28
wlio,DET,64,24,24,28,28
wijh,ADP,63,24,24,25,25
beinj,ADP,51,24,24,22,22
lsjlsbn,ADP,49,0,24,1,24
eitherfullor,CONJ,24,0,24,0,20
ifenderfer,ADP,39,0,24,0,21
lliffe,DET,45,0,24,1,22
iliird,ADP,49,0,24,1,24
chapterunderthedistributedtermsof,ADP,24,0,24,0,20
pricesupon,ADP,26,0,24,0,18
ofworkorschoolingand,CONJ,25,0,24,0,18
outerweqr,ADP,40,0,24,0,22
thame,ADP,419,23,23,39,39
das,ADP,374,21,23,34,38
includedin,ADP,218,22,23,46,47
anguinus,CONJ,151,23,23,29,29
oopper,ADP,97,13,23,18,24
whilc,ADP,68,23,23,26,26
llke,ADP,86,23,23,29,29
wnether,ADP,84,23,23,27,28
apainst,ADP,71,23,23,25,25
twain,PRON,71,23,23,28,28
undsr,ADP,85,23,23,26,26
asrainst,ADP,71,22,23,25,26
warp,PRT,84,19,23,28,30
lendahand,CONJ,34,0,23,0,21
toranomon,ADP,72,0,23,3,25
wgrow,ADP,28,0,23,1,21
alcpa,DET,72,0,23,5,24
inpbis,ADP,41,0,23,1,24
orlocker,CONJ,38,0,23,0,21
thesethesethesethesethese,DET,47,0,23,1,26
ttwestern,ADP,33,0,23,0,23
afriscope,DET,50,0,23,1,21
adlake,DET,51,0,23,1,24
microrim,PRON,23,0,23,0,19
occupationinadditiontothe,DET,27,0,23,1,20
ouraa,ADP,46,0,23,4,25
ownsorn,PRT,23,0,23,0,19
isatmost,ADP,40,0,23,0,22
ofxml,ADP,55,0,23,2,25
annexa,DET,829,21,22,94,94
altheugh,ADP,445,22,22,67,68
oly,ADP,257,22,22,30,30
thejustice,DET,249,21,22,28,28
becuse,ADP,216,22,22,40,40
aliout,DET,188,22,22,37,38
euerie,DET,185,21,22,33,33
ohnstown,ADP,129,20,22,29,33
amall,DET,118,22,22,34,34
sai,PRON,99,21,22,26,26
ihis,PRON,81,22,22,26,26
lfor,ADP,75,22,22,26,26
thii,PRON,61,22,22,24,24
liave,ADP,50,22,22,22,22
vtith,ADP,56,22,22,24,24
wiiich,DET,47,22,22,22,22
upcn,PRT,64,22,22,24,24
fortytwo,ADP,61,21,22,22,22
thiit,PRON,74,21,22,29,29
whde,ADP,83,21,22,22,22
eak,PRON,52,21,22,23,23
thegn,DET,85,21,22,25,25
atominder,ADP,43,0,22,1,22
decitex,PRT,38,0,22,0,21
limitoti,ADP,22,0,22,0,22
tetrafilcon,ADP,48,0,22,1,21
yezhednevna,PRON,27,0,22,0,19
assessmenet,DET,22,0,22,0,18
ascll,DET,69,0,22,5,24
interleukln,ADP,53,0,22,2,23
orschungsbereich,CONJ,54,0,22,3,23
acmaea,DET,74,8,22,19,24
distributedundertheundertermsof,ADP,22,0,22,0,18
oodservice,ADP,76,0,22,5,23
mailitbackinthe,DET,22,0,22,0,18
thairefter,ADP,175,21,21,45,45
dapple,ADP,132,21,21,27,27
rreni,PRT,122,0,21,2,48
atford,ADP,101,21,21,34,34
tbat,PRON,101,21,21,29,29
iound,ADP,97,21,21,26,26
abou,DET,93,21,21,29,29
attest,CONJ,55,21,21,21,21
ivhile,ADP,50,21,21,21,21
althougn,ADP,91,21,21,26,26
lcs,ADP,85,21,21,25,25
oflf,PRON,64,21,21,22,22
btween,ADP,80,20,21,25,25
limitin,ADP,60,20,21,22,23
aflirm,ADP,53,20,21,20,21
thinkfilm,PRON,43,0,21,1,21
lnservice,ADP,86,0,21,7,24
therapiewoche,DET,32,0,21,0,20
yogasana,PRON,26,0,21,1,16
atmosfernykh,ADP,65,0,21,6,22
ofedgesin,ADP,36,0,21,0,20
utslaepp,PRT,33,0,21,0,18
windowsmedia,ADP,49,0,21,2,22
tergevver,ADP,25,0,21,0,18
uponuponuponuponupon,ADP,42,0,21,0,23
permadur,ADP,22,0,21,0,15
anotheranotheranotheranotheranother,DET,41,0,21,0,21
ismappedto,ADP,35,0,21,0,19
underunderunderunderunder,ADP,35,0,21,0,19
offormermachiormurainto,ADP,21,0,21,0,17
alif,ADP,304,19,20,57,57
artd,ADP,226,20,20,37,37
unquantif,ADP,199,0,20,15,61
thrt,ADP,196,20,20,40,40
tnat,PRT,193,20,20,30,30
aux,ADP,135,20,20,36,36
thilke,ADP,123,20,20,26,27
quhairin,ADP,114,19,20,33,34
thatch,PRON,108,20,20,30,30
upbn,ADP,85,20,20,29,30
benzoin,ADP,67,20,20,22,22
liere,ADP,78,20,20,27,27
beea,ADP,35,20,20,20,20
iun,ADP,92,20,20,27,27
nearer,CONJ,55,20,20,20,21
upp,ADP,42,20,20,20,20
tojthe,DET,66,20,20,23,23
unler,ADP,84,20,20,25,25
atile,ADP,61,19,20,20,20
lhrough,ADP,78,19,20,22,22
ajdirect,ADP,39,0,20,0,20
annotea,DET,52,0,20,1,24
yyyyyououououou,PRON,60,0,20,1,27
minsthe,PRON,51,0,20,1,22
oraleut,CONJ,20,0,20,0,17
kingella,DET,20,0,20,0,20
ofaconcept,ADP,79,0,20,2,29
ofengland,CONJ,1086,19,19,56,57
beleif,ADP,221,18,19,24,24
tellin,ADP,194,18,19,34,35
theol,DET,191,18,19,34,34
silversmith,ADP,188,19,19,43,43
igi,PRON,155,18,19,26,26
htm,PRON,134,19,19,22,22
troisieme,DET,112,18,19,30,31
arou,ADP,100,18,19,33,33
foro,ADP,48,19,19,21,21
understan,ADP,45,19,19,19,20
waa,PRT,55,19,19,19,19
